
110,Luva de Academia (Fitness),339.38,67
111,Teclado Mecânico (Tecnologia),175.15,38
112,Cadeira Gamer (Games),149.34,34
113,Sensor de Ré (Automotivo),499.01,60
114,Protetor Solar (Beleza),12.99,4
115,Esteira (Fitness),471.58,75
116,Corda de Pular (Fitness),108.97,31
117,Creme Hidratante (Beleza),38.65,83
118,Relógio (Moda),309.67,51
119,"Monitor 24"" (Tecnologia)",120.97,11
120,Creme Hidratante (Beleza),263.87,93
121,Esteira (Fitness),86.26,59
122,Jogo RPG (Games),282.2,56
123,Tênis Casual (Moda),152.64,86
124,Mousepad Gamer (Games),119.3,28
125,Controle (Games),83.33,19
126,Garrafa Térmica (Fitness),305.44,43
127,Jaqueta (Moda),281.43,13
128,Headset RGB (Tecnologia),197.04,11
129,Jogo FPS (Games),100.3,3
130,Boné (Moda),392.36,77
131,Mouse Gamer (Tecnologia),233.18,17
132,Mouse Gamer (Tecnologia),398.64,15
133,Headset RGB (Tecnologia),234.03,93
134,Ventilador (Casa),129.54,27
135,Óleo de Motor (Automotivo),97.14,38
136,Garrafa Térmica (Fitness),413.92,5
137,Corda de Pular (Fitness),249.3,19
138,Condicionador (Beleza),216.15,83
139,Protetor Solar (Beleza),167.43,45
140,Sensor de Ré (Automotivo),498.33,35
141,Óleo de Motor (Automotivo),291.9,38
142,SSD 1TB (Tecnologia),375.31,10
143,Esteira (Fitness),209.87,55
144,Liquidificador (Casa),144.21,20
145,Protetor Solar (Beleza),475.54,68
146,Corda de Pular (Fitness),91.03,9
147,Corda de Pular (Fitness),245.59,19
148,Webcam HD (Tecnologia),336.03,93
149,Cadeira Gamer (Games),373.89,69
150,Protetor Solar (Beleza),182.36,59
151,Boné (Moda),217.82,29
152,Condicionador (Beleza),34.59,55
153,Halter (Fitness),207.95,3
154,"Monitor 24"" (Tecnologia)",13.28,82
155,Calça Jeans (Moda),465.33,5
156,Calça Jeans (Moda),113.9,11
157,Halter (Fitness),56.97,98
158,Perfume (Beleza),179.18,83
159,Esteira (Fitness),451.1,10
160,Calça Jeans (Moda),143.19,15
161,Panela Antiaderente (Casa),10.69,34
162,Aspirador (Casa),201.64,76
163,Limpador de Para-brisa (Automotivo),34.75,22
164,Headset RGB (Tecnologia),252.7,23
165,Limpador de Para-brisa (Automotivo),170.98,89
166,Mousepad Gamer (Games),122.69,52
167,Shampoo (Beleza),445.65,74
168,Corda de Pular (Fitness),5.47,44
169,Liquidificador (Casa),281.14,32
170,Teclado Mecânico (Tecnologia),473.42,49
171,Limpador de Para-brisa (Automotivo),385.72,53
172,Jaqueta (Moda),72.18,4
173,Óleo de Motor (Automotivo),215.85,80
174,Boné (Moda),420.41,69
175,Jogo FPS (Games),29.26,20
176,Perfume (Beleza),235.16,73
177,Creme Hidratante (Beleza),288.39,68
178,Protetor Solar (Beleza),292.68,78
179,Liquidificador (Casa),73.43,82
180,Cafeteira (Casa),181.39,13
181,Webcam HD (Tecnologia),333.88,84
182,Controle (Games),276.38,57
183,Capa de Banco (Automotivo),385.41,5
184,Jaqueta (Moda),303.42,23
185,Creme Hidratante (Beleza),293.62,53
186,Corda de Pular (Fitness),225.74,41
187,Tênis Casual (Moda),470.87,45
188,Liquidificador (Casa),303.39,23
189,Esteira (Fitness),177.07,93
190,Perfume (Beleza),191.83,80
191,Esteira (Fitness),154.16,15
192,Cadeira Gamer (Games),242.85,40
193,Controle (Games),162.14,95
194,Aspirador (Casa),314.73,81
195,Condicionador (Beleza),448.58,57
196,Lâmpada LED (Casa),193.64,88
197,Óleo de Motor (Automotivo),31.24,23
198,Boné (Moda),289.44,97
199,Camiseta Estampada (Moda),43.4,83
200,Luva de Academia (Fitness),451.99,5
